Judge,Judge.full,Born,Active,Appointed By,
putnam,William LeBaron Putnam,1835,1892–1917,B. Harrison,0
colt,LeBaron B. Colt,1846,1891–1913[Note 1],Arthur,0
dodge,Frederic Dodge,1847,1912–1918,Taft,0
lowell,Francis Cabot Lowell,1855,1905–1911,T. Roosevelt,0
schofield,William Schofield,1857,1911–1912,Taft,0
johnson,Charles Fletcher Johnson,1859,1917–1929,Wilson,1
anderson,George Weston Anderson,1861,1918–1931,Wilson,0
bingham,George Hutchins Bingham,1864,1913–1939,Wilson,1
morton,James Madison Morton Jr.,1869,1932–1939,Hoover,1
wilson,Scott Wilson,1870,1929–1940,Hoover,1
mahoney,John Christopher Mahoney,1882,1940–1950,F. Roosevelt,1
hartigan,John Patrick Hartigan,1887,1950–1965,Truman,1
magruder,Calvert Magruder,1893,1939–1959,F. Roosevelt,1
woodbury,Peter Woodbury,1899,1941–1964,F. Roosevelt,1
mcentee,Edward Matthew McEntee,1906,1965–1976,L. Johnson,1
aldrich,Bailey Aldrich,1907,1959–1972,Eisenhower,1
coffin,Frank M. Coffin,1919,1965–1989,L. Johnson,1
bownes,Hugh Henry Bownes,1920,1977–1990,Carter,1
campbell,Levin H. Campbell,1927,1972–1992,Nixon,1
stahl,Norman H. Stahl,1931,1992–2001,G.H.W. Bush,1
cyr,Conrad K. Cyr,1931,1989–1997,G.H.W. Bush,1
torruella,Juan R. Torruella,1933,1984–present,Reagan,1
selya,Bruce M. Selya,1934,1986–2006,Reagan,1
breyer,Stephen Breyer,1938,1980–1994,Carter,1
boudin,Michael Boudin,1939,1992–2013,G.H.W. Bush,1
souter,David Souter,1939,1990,G.H.W. Bush,0
lipez,Kermit Lipez,1941,1998–2011,Clinton,1
lynch,Sandra Lynch,1946,1995–present,Clinton,1
thompson,O. Rogeriee Thompson,1951,2010–present,Obama,1
kayatta,William J. Kayatta Jr.,1953,2013–present,Obama,1
howard,Jeffrey R. Howard,1955,2002–present,G.W. Bush,1
barron,David Jeremiah Barron,1967,2014–present,Obama,1
